ano,regiao,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2005,Centro-Oeste,estadual,fundamental,finais (6-9),72.1,0.72182798,233.5,227.88,4.3564529,3.1,
2005,Centro-Oeste,estadual,fundamental,iniciais (1-5),83,0.83708102,185.38,172.13,4.631618,3.9,
2005,Centro-Oeste,estadual,medio,todos (1-4),68,0.69513798,261.23,251.52,4.1236539,2.9,
2005,Centro-Oeste,privada,fundamental,finais (6-9),94.4,0.94349098,283.57,266.82,5.8401828,5.5,
2005,Centro-Oeste,privada,fundamental,iniciais (1-5),97.3,0.97238803,223.64,210.36,6.057024,5.9,
2005,Centro-Oeste,privada,medio,todos (1-4),92.4,0.94317901,338.52,309.85,6.08284,5.7,
2005,Centro-Oeste,publica,fundamental,finais (6-9),72.8,0.729496,232.57,227.63,4.3365779,3.2,
2005,Centro-Oeste,publica,fundamental,iniciais (1-5),82.1,0.83121902,180.88,170.36,4.5136251,3.8,
2005,Centro-Oeste,total,fundamental,finais (6-9),75.2,0.75429499,239.72,233.11,4.5472679,3.4,
2005,Centro-Oeste,total,fundamental,iniciais (1-5),83.8,0.847,186.58,175.69,4.7194948,4,
2005,Centro-Oeste,total,medio,todos (1-4),71.5,0.74789602,274.52,261.55,4.4608569,3.3,
2005,Nordeste,estadual,fundamental,finais (6-9),66.8,0.668975,219.58,215.92,3.9250629,2.6,
2005,Nordeste,estadual,fundamental,iniciais (1-5),73.8,0.743397,162.61,156.61,3.915113,2.9,
2005,Nordeste,estadual,medio,todos (1-4),68.2,0.73081899,247.52,237.1,3.7153449,2.7,
2005,Nordeste,privada,fundamental,finais (6-9),92.2,0.92223901,282.1,265.69,5.7967,5.3,
2005,Nordeste,privada,fundamental,iniciais (1-5),96,0.95201099,211.16,199.88,5.6283898,5.4,
2005,Nordeste,privada,medio,todos (1-4),90.8,0.91683102,319.33,299.08,5.6520138,5.2,
2005,Nordeste,publica,fundamental,finais (6-9),67.1,0.67852902,217.11,212.86,3.833277,2.6,
2005,Nordeste,publica,fundamental,iniciais (1-5),70.8,0.72717601,156.41,149.6,3.6691821,2.7,
2005,Nordeste,total,fundamental,finais (6-9),69.3,0.69963098,225.21,219.44,4.0776372,2.9,
2005,Nordeste,total,fundamental,iniciais (1-5),73.1,0.74759799,162.46,155.14,3.8853049,2.9,
2005,Nordeste,total,medio,todos (1-4),70.9,0.75493997,258.16,246.22,4.0013041,3,
2005,Norte,estadual,fundamental,finais (6-9),75.3,0.75484103,222.83,223,4.0973878,3.1,
2005,Norte,estadual,fundamental,iniciais (1-5),77.5,0.79540402,166.39,161.3,4.0724602,3.2,
2005,Norte,estadual,medio,todos (1-4),68.8,0.73704499,243.61,236.07,3.6451139,2.7,
2005,Norte,privada,fundamental,finais (6-9),95.1,0.95044398,273.47,265.47,5.648932,5.4,
2005,Norte,privada,fundamental,iniciais (1-5),96.7,0.973575,211.05,202.33,5.670455,5.5,
2005,Norte,privada,medio,todos (1-4),92,0.90821999,313.26,298.51,5.558136,5,
2005,Norte,publica,fundamental,finais (6-9),74.1,0.74688101,222.25,221.99,4.0706978,3,
2005,Norte,publica,fundamental,iniciais (1-5),70.6,0.73413402,164.13,157.83,3.9661751,2.9,
2005,Norte,total,fundamental,finais (6-9),75.3,0.75890303,226.8,225.83,4.2107282,3.2,
2005,Norte,total,fundamental,iniciais (1-5),71.8,0.74367398,166.97,160.52,4.0693011,3,
2005,Norte,total,medio,todos (1-4),70.5,0.750844,250.25,241.99,3.8269441,2.9,
2005,Sudeste,estadual,fundamental,finais (6-9),82.1,0.81865501,236.16,229.8,4.433012,3.6,
2005,Sudeste,estadual,fundamental,iniciais (1-5),92.4,0.92818898,190.33,180.47,4.8775969,4.5,
2005,Sudeste,estadual,medio,todos (1-4),73.2,0.76945901,264.57,253.5,4.200542,3.2,
2005,Sudeste,privada,fundamental,finais (6-9),95.4,0.95374,302.26,281.51,6.3963079,6.1,
2005,Sudeste,privada,fundamental,iniciais (1-5),98,0.97385699,236.83,218.78,6.4617591,6.3,
2005,Sudeste,privada,medio,todos (1-4),93.6,0.93311501,339.57,310.42,6.1058168,5.7,
2005,Sudeste,publica,fundamental,finais (6-9),81.8,0.81676102,237.13,230.44,4.459815,3.6,
2005,Sudeste,publica,fundamental,iniciais (1-5),89.4,0.89829099,190.11,179.47,4.8551168,4.4,
2005,Sudeste,total,fundamental,finais (6-9),83.5,0.83414799,246.16,237.52,4.7283082,3.9,
2005,Sudeste,total,fundamental,iniciais (1-5),90.5,0.90705198,195.75,184.22,5.0492282,4.6,
2005,Sudeste,total,medio,todos (1-4),76.1,0.79237401,276.73,262.7,4.508884,3.6,
2005,Sul,estadual,fundamental,finais (6-9),76.1,0.763071,244.61,231.92,4.6090631,3.5,
2005,Sul,estadual,fundamental,iniciais (1-5),86.3,0.84558803,194.36,182.41,4.9900341,4.2,
2005,Sul,estadual,medio,todos (1-4),69.1,0.734231,282.73,264.92,4.6266208,3.4,
2005,Sul,privada,fundamental,finais (6-9),96.1,0.96047699,297.83,282.54,6.33954,6.1,
2005,Sul,privada,fundamental,iniciais (1-5),97.5,0.962726,233.72,218.97,6.406137,6.2,
2005,Sul,privada,medio,todos (1-4),94.2,0.95254701,342.2,310.55,6.1449189,5.9,
2005,Sul,publica,fundamental,finais (6-9),77.2,0.774656,245.8,233.72,4.6589599,3.6,
2005,Sul,publica,fundamental,iniciais (1-5),87,0.883614,191.38,177.69,4.8475299,4.3,
2005,Sul,total,fundamental,finais (6-9),78.8,0.78999603,251.53,239.1,4.844027,3.8,
2005,Sul,total,fundamental,iniciais (1-5),87.8,0.89143199,194.86,181.08,4.9752078,4.4,
2005,Sul,total,medio,todos (1-4),72.3,0.76181799,292.51,272.36,4.8753018,3.7,
2007,Centro-Oeste,estadual,fundamental,finais (6-9),77,0.771061,241.61,229.05,4.5110002,3.5,3.2
2007,Centro-Oeste,estadual,fundamental,iniciais (1-5),88.1,0.88665098,198.14,181.16,5.043973,4.5,3.9
2007,Centro-Oeste,estadual,medio,todos (1-4),69.9,0.72826302,262.72,252.77,4.1635342,3,2.9
2007,Centro-Oeste,privada,fundamental,finais (6-9),95.1,0.950221,291.89,271.13,6.0504999,5.7,5.5
2007,Centro-Oeste,privada,fundamental,iniciais (1-5),97.9,0.97938299,224.91,207.97,6.043345,5.9,5.9
2007,Centro-Oeste,privada,medio,todos (1-4),93,0.93466598,328.86,305.2,5.877337,5.5,5.8
2007,Centro-Oeste,publica,fundamental,finais (6-9),78.4,0.78641403,242.71,229.89,4.5434999,3.6,3.2
2007,Centro-Oeste,publica,fundamental,iniciais (1-5),87.8,0.881522,191.8,175.28,4.8160548,4.2,3.8
2007,Centro-Oeste,total,fundamental,finais (6-9),80.4,0.80495501,249.55,235.63,4.7530298,3.8,3.5
2007,Centro-Oeste,total,fundamental,iniciais (1-5),89,0.89288801,196.08,179.5,4.9743299,4.4,4.1
2007,Centro-Oeste,total,medio,todos (1-4),73,0.75732303,275.39,262.63,4.4889412,3.4,3.4
2007,Nordeste,estadual,fundamental,finais (6-9),69,0.69203001,226.92,217.94,4.0813332,2.8,2.7
2007,Nordeste,estadual,fundamental,iniciais (1-5),77.2,0.77756703,177.08,161.08,4.2764912,3.3,3
2007,Nordeste,estadual,medio,todos (1-4),69.6,0.73864901,250.07,241.52,3.817302,2.8,2.7
2007,Nordeste,privada,fundamental,finais (6-9),93.2,0.93299198,282.67,264.04,5.778667,5.4,5.4
2007,Nordeste,privada,fundamental,iniciais (1-5),96.5,0.96436,214.57,199.67,5.694603,5.5,5.4
2007,Nordeste,privada,medio,todos (1-4),92.5,0.93450999,312.11,295.95,5.5036111,5.1,5.2
2007,Nordeste,publica,fundamental,finais (6-9),71,0.717085,225.82,215.99,4.0301671,2.9,2.6
2007,Nordeste,publica,fundamental,iniciais (1-5),77.8,0.786937,174.35,157.32,4.1555581,3.3,2.7
2007,Nordeste,total,fundamental,finais (6-9),72.6,0.73264199,233.27,222.28,4.2595482,3.1,2.9
2007,Nordeste,total,fundamental,iniciais (1-5),79.2,0.80078697,179.19,162.41,4.340723,3.5,3
2007,Nordeste,total,medio,todos (1-4),71.6,0.75787097,258.14,248.49,4.0352039,3.1,3
2007,Norte,estadual,fundamental,finais (6-9),76,0.76325601,232.82,224.74,4.2926669,3.3,3.1
2007,Norte,estadual,fundamental,iniciais (1-5),79.6,0.812572,181.91,167.41,4.483552,3.6,3.3
2007,Norte,estadual,medio,todos (1-4),68.4,0.72423899,247.3,239.36,3.7463529,2.7,2.7
2007,Norte,privada,fundamental,finais (6-9),95.3,0.95274502,274.02,261.38,5.590167,5.3,5.4
2007,Norte,privada,fundamental,iniciais (1-5),96.9,0.96914202,215.46,202.16,5.756721,5.6,5.6
2007,Norte,privada,medio,todos (1-4),93.6,0.94492698,306.86,297.2,5.4487381,5.1,5.1
2007,Norte,publica,fundamental,finais (6-9),75.9,0.76516402,232.22,224.11,4.2725,3.3,3.1
2007,Norte,publica,fundamental,iniciais (1-5),75.2,0.76868701,176.66,161.24,4.2710028,3.3,3
2007,Norte,total,fundamental,finais (6-9),77.1,0.776739,235.82,227.32,4.3857708,3.4,3.2
2007,Norte,total,fundamental,iniciais (1-5),76.1,0.77771503,179.16,163.88,4.3672628,3.4,3.1
2007,Norte,total,medio,todos (1-4),69.9,0.74193102,253.24,245.28,3.9181681,2.9,2.9
2007,Sudeste,estadual,fundamental,finais (6-9),83.1,0.82951701,244.57,232.69,4.6209998,3.8,3.7
2007,Sudeste,estadual,fundamental,iniciais (1-5),93.3,0.93755698,196.78,179.19,4.9823341,4.7,4.6
2007,Sudeste,estadual,medio,todos (1-4),73.8,0.77840698,269.22,260.6,4.3720412,3.4,3.3
2007,Sudeste,privada,fundamental,finais (6-9),95.7,0.95698702,301.83,279.85,6.3614998,6.1,6.1
2007,Sudeste,privada,fundamental,iniciais (1-5),98.4,0.98339599,236.78,217.13,6.4365911,6.3,6.3
2007,Sudeste,privada,medio,todos (1-4),94.4,0.935965,338.82,312.2,6.1218748,5.7,5.7
2007,Sudeste,publica,fundamental,finais (6-9),83.2,0.83081698,245.17,233.3,4.6415,3.9,3.7
2007,Sudeste,publica,fundamental,iniciais (1-5),91.1,0.913818,197.41,179,4.9905429,4.6,4.4
2007,Sudeste,total,fundamental,finais (6-9),84.8,0.84749401,252.86,239.61,4.8745618,4.1,4
2007,Sudeste,total,fundamental,iniciais (1-5),92.1,0.92415601,202.3,183.75,5.1706548,4.8,4.6
2007,Sudeste,total,medio,todos (1-4),76.3,0.79807198,280.42,268.94,4.6541009,3.7,3.6
2007,Sul,estadual,fundamental,finais (6-9),80.5,0.80658698,252.08,237.05,4.8189998,3.9,3.5
2007,Sul,estadual,fundamental,iniciais (1-5),89.4,0.89544803,200.53,182.66,5.1171069,4.6,4.3
2007,Sul,estadual,medio,todos (1-4),73.6,0.77369398,281.95,267.17,4.6490369,3.6,3.4
2007,Sul,privada,fundamental,finais (6-9),96,0.95998001,299.76,278.79,6.3091669,6.1,6.1
2007,Sul,privada,fundamental,iniciais (1-5),98.1,0.982364,236.69,217.61,6.443603,6.3,6.2
2007,Sul,privada,medio,todos (1-4),94.7,0.956204,339.98,310.23,6.108676,5.8,5.9
2007,Sul,publica,fundamental,finais (6-9),81.1,0.81307697,251.75,236.83,4.809833,3.9,3.6
2007,Sul,publica,fundamental,iniciais (1-5),90.3,0.90877903,200.41,181.22,5.088438,4.6,4.3
2007,Sul,total,fundamental,finais (6-9),82.2,0.82443398,256.85,241.3,4.9691992,4.1,3.9
2007,Sul,total,fundamental,iniciais (1-5),91,0.914913,203.46,184.27,5.2020798,4.8,4.5
2007,Sul,total,medio,todos (1-4),75.9,0.79315299,291.89,274.51,4.8985271,3.9,3.7
2009,Centro-Oeste,estadual,fundamental,finais (6-9),80.8,0.80797899,241.83,239.41,4.6876669,3.8,3.3
2009,Centro-Oeste,estadual,fundamental,iniciais (1-5),91,0.91222399,211.21,191.55,5.4825139,5,4.3
2009,Centro-Oeste,estadual,medio,todos (1-4),70.9,0.74343401,262.39,260.1,4.2686291,3.2,3
2009,Centro-Oeste,privada,fundamental,finais (6-9),94.6,0.94572401,293.79,276.73,6.175333,5.8,5.7
2009,Centro-Oeste,privada,fundamental,iniciais (1-5),98.3,0.982997,237.69,219.35,6.4943619,6.4,6.2
2009,Centro-Oeste,privada,medio,todos (1-4),92.6,0.94449103,336.26,315.3,6.132617,5.8,5.8
2009,Centro-Oeste,publica,fundamental,finais (6-9),81.6,0.816724,242.72,240.58,4.7218332,3.9,3.3
2009,Centro-Oeste,publica,fundamental,iniciais (1-5),89.7,0.897515,205.88,187.35,5.3042722,4.8,4.2
2009,Centro-Oeste,total,fundamental,finais (6-9),83.3,0.83403701,250.63,246.17,4.947,4.1,3.6
2009,Centro-Oeste,total,fundamental,iniciais (1-5),90.9,0.90915799,208.55,190.07,5.404767,4.9,4.4
2009,Centro-Oeste,total,medio,todos (1-4),74.1,0.76947498,274.61,269.25,4.5772252,3.5,3.5
2009,Nordeste,estadual,fundamental,finais (6-9),70.7,0.70670402,228.94,227.72,4.277667,3,2.8
2009,Nordeste,estadual,fundamental,iniciais (1-5),80.4,0.81162,184.33,167.16,4.5256171,3.7,3.3
2009,Nordeste,estadual,medio,todos (1-4),72.1,0.76222903,253.58,252.25,4.0275192,3.1,2.8
2009,Nordeste,privada,fundamental,finais (6-9),93.3,0.93248397,284.66,271.32,5.9330001,5.5,5.5
2009,Nordeste,privada,fundamental,iniciais (1-5),96.7,0.96697998,224.82,207.86,6.0392509,5.8,5.7
2009,Nordeste,privada,medio,todos (1-4),92.4,0.92139602,317.79,303.05,5.689683,5.2,5.3
2009,Nordeste,publica,fundamental,finais (6-9),73.5,0.74107301,227.75,225.97,4.2286668,3.1,2.8
2009,Nordeste,publica,fundamental,iniciais (1-5),81.9,0.82397902,182.03,165.32,4.4480171,3.7,3.1
2009,Nordeste,total,fundamental,finais (6-9),75.5,0.76013303,235.86,232.42,4.4714999,3.4,3
2009,Nordeste,total,fundamental,iniciais (1-5),83.6,0.84117597,184.03,167.3,4.5224309,3.8,3.3
2009,Nordeste,total,medio,todos (1-4),74.3,0.78151202,261.29,258.35,4.2271228,3.3,3.1
2009,Norte,estadual,fundamental,finais (6-9),77.9,0.78032398,233.69,235.52,4.487,3.5,3.3
2009,Norte,estadual,fundamental,iniciais (1-5),85.7,0.86324799,192.83,176.63,4.8601022,4.2,3.6
2009,Norte,estadual,medio,todos (1-4),71.5,0.75665301,256.79,256.47,4.1356268,3.1,2.8
2009,Norte,privada,fundamental,finais (6-9),95.1,0.95049399,271.58,262.69,5.5713329,5.3,5.5
2009,Norte,privada,fundamental,iniciais (1-5),97.1,0.970761,225.85,211.14,6.1187782,5.9,5.9
2009,Norte,privada,medio,todos (1-4),94,0.93628597,317.22,307.3,5.7452998,5.4,5.2
2009,Norte,publica,fundamental,finais (6-9),78.2,0.78641999,232.96,234.75,4.461833,3.5,3.2
2009,Norte,publica,fundamental,iniciais (1-5),80.1,0.80856901,189.1,173.11,4.7246189,3.8,3.3
2009,Norte,total,fundamental,finais (6-9),79.2,0.79625398,236.33,237.19,4.5586672,3.6,3.4
2009,Norte,total,fundamental,iniciais (1-5),81,0.817415,188.25,172.25,4.6929159,3.8,3.4
2009,Norte,total,medio,todos (1-4),73,0.77832901,261.52,260.45,4.2616401,3.3,3
2009,Sudeste,estadual,fundamental,finais (6-9),84.9,0.84855002,246.61,242.69,4.8218331,4.1,3.8
2009,Sudeste,estadual,fundamental,iniciais (1-5),95.8,0.96213198,215.92,192.33,5.5868888,5.4,4.9
2009,Sudeste,estadual,medio,todos (1-4),75.3,0.789505,270.7,266.26,4.4775491,3.5,3.3
2009,Sudeste,privada,fundamental,finais (6-9),95,0.95023,298.94,283.05,6.3666668,6,6.2
2009,Sudeste,privada,fundamental,iniciais (1-5),98.1,0.98059601,252.11,228.36,6.9339671,6.8,6.6
2009,Sudeste,privada,medio,todos (1-4),93.5,0.93516999,331.29,311.08,5.99964,5.6,5.8
2009,Sudeste,publica,fundamental,finais (6-9),84.1,0.84047502,247.19,243.33,4.8423328,4.1,3.8
2009,Sudeste,publica,fundamental,iniciais (1-5),92.4,0.92628098,214.74,191.96,5.5574212,5.1,4.8
2009,Sudeste,total,fundamental,finais (6-9),85.5,0.85480499,254.55,248.99,5.059,4.3,4.1
2009,Sudeste,total,fundamental,iniciais (1-5),93.2,0.93378597,219.32,196.47,5.7269711,5.3,5
2009,Sudeste,total,medio,todos (1-4),77.8,0.80993801,280.23,273.29,4.7166462,3.8,3.7
2009,Sul,estadual,fundamental,finais (6-9),80.6,0.806804,252.99,247.16,5.0025001,4,3.7
2009,Sul,estadual,fundamental,iniciais (1-5),90.9,0.90901798,209.02,188.69,5.388835,4.9,4.6
2009,Sul,estadual,medio,todos (1-4),74.3,0.78458297,285.5,275.92,4.8300338,3.8,3.5
2009,Sul,privada,fundamental,finais (6-9),95.7,0.95747799,304.79,285.38,6.5029998,6.2,6.2
2009,Sul,privada,fundamental,iniciais (1-5),98.2,0.98216599,248.44,226.67,6.8331022,6.7,6.5
2009,Sul,privada,medio,todos (1-4),94.3,0.94650298,343.25,317.63,6.2653809,5.9,6
2009,Sul,publica,fundamental,finais (6-9),81,0.81176001,253.6,247.39,5.0166669,4.1,3.8
2009,Sul,publica,fundamental,iniciais (1-5),91.9,0.91842997,212.3,189.72,5.470243,5,4.7
2009,Sul,total,fundamental,finais (6-9),82.2,0.82415599,258.91,251.33,5.1708331,4.3,4
2009,Sul,total,fundamental,iniciais (1-5),92.5,0.924218,214.35,191.74,5.5459671,5.1,4.8
2009,Sul,total,medio,todos (1-4),76.7,0.80291498,294.47,282.39,5.0528741,4.1,3.8
2011,Centro-Oeste,estadual,fundamental,finais (6-9),82.9,0.82841802,245.64,239.63,4.7548332,3.9,3.6
2011,Centro-Oeste,estadual,fundamental,iniciais (1-5),91.8,0.92079002,215.39,196.61,5.6546168,5.2,4.7
2011,Centro-Oeste,estadual,medio,todos (1-4),72.4,0.74653298,269.02,265.23,4.438684,3.3,3.2
2011,Centro-Oeste,privada,fundamental,finais (6-9),95.1,0.95098698,294.1,279.8,6.231833,5.9,5.9
2011,Centro-Oeste,privada,fundamental,iniciais (1-5),98.6,0.98559803,247.16,226.42,6.8040972,6.7,6.5
2011,Centro-Oeste,privada,medio,todos (1-4),93.3,0.9508,328.14,307.73,5.9052491,5.6,6
2011,Centro-Oeste,publica,fundamental,finais (6-9),83.6,0.83623397,246.47,240.39,4.781333,4,3.6
2011,Centro-Oeste,publica,fundamental,iniciais (1-5),91.7,0.91796702,211.86,194.08,5.5411472,5.1,4.6
2011,Centro-Oeste,total,fundamental,finais (6-9),85.3,0.85305798,254.19,246.78,5.0165,4.3,3.9
2011,Centro-Oeste,total,fundamental,iniciais (1-5),92.8,0.92829502,215.92,197.78,5.6862092,5.3,4.8
2011,Centro-Oeste,total,medio,todos (1-4),75.6,0.77419299,279.52,272.79,4.6991801,3.6,3.6
2011,Nordeste,estadual,fundamental,finais (6-9),72.9,0.72796899,231.35,226.85,4.3033328,3.1,3.1
2011,Nordeste,estadual,fundamental,iniciais (1-5),83.5,0.84486198,187.69,171.77,4.6734838,3.9,3.7
2011,Nordeste,estadual,medio,todos (1-4),74.2,0.77838498,248.8,248.11,3.8984079,3,3
2011,Nordeste,privada,fundamental,finais (6-9),93.3,0.932495,285.91,273.35,5.987833,5.6,5.7
2011,Nordeste,privada,fundamental,iniciais (1-5),97,0.97059298,227.41,210.33,6.1336699,6,6.1
2011,Nordeste,privada,medio,todos (1-4),92.9,0.93570203,320.45,304.64,5.7509861,5.4,5.5
2011,Nordeste,publica,fundamental,finais (6-9),75.7,0.76169598,230.33,225.16,4.2583332,3.2,3
2011,Nordeste,publica,fundamental,iniciais (1-5),85.8,0.86061502,186.83,170.92,4.6415901,4,3.5
2011,Nordeste,total,fundamental,finais (6-9),77.7,0.78135502,239.13,232.8,4.532167,3.5,3.3
2011,Nordeste,total,fundamental,iniciais (1-5),87.5,0.87615103,190.83,174.55,4.7838688,4.2,3.7
2011,Nordeste,total,medio,todos (1-4),76.3,0.79444402,257.85,255.22,4.1318111,3.3,3.3
2011,Norte,estadual,fundamental,finais (6-9),80.4,0.80564803,236.55,233.38,4.4990001,3.6,3.5
2011,Norte,estadual,fundamental,iniciais (1-5),89.6,0.89994103,196,180.57,4.9923511,4.5,4.1
2011,Norte,estadual,medio,todos (1-4),73.8,0.78132403,249.86,250.75,3.9525261,3.1,3
2011,Norte,privada,fundamental,finais (6-9),94.9,0.94899398,281.01,272.89,5.8985,5.6,5.8
2011,Norte,privada,fundamental,iniciais (1-5),97.7,0.97718799,228.08,213.86,6.210866,6.1,6.2
2011,Norte,privada,medio,todos (1-4),93.6,0.93787301,311.04,301.92,5.5778141,5.2,5.3
2011,Norte,publica,fundamental,finais (6-9),80.7,0.81155801,235.94,232.96,4.481667,3.6,3.5
2011,Norte,publica,fundamental,iniciais (1-5),86.2,0.86409301,192.69,177.83,4.879446,4.2,3.7
2011,Norte,total,fundamental,finais (6-9),81.7,0.82066202,240.46,236.97,4.6238332,3.8,3.6
2011,Norte,total,fundamental,iniciais (1-5),87,0.871364,191.52,176.66,4.8356261,4.2,3.8
2011,Norte,total,medio,todos (1-4),75.4,0.78632301,255.36,255.33,4.0983362,3.2,3.2
2011,Sudeste,estadual,fundamental,finais (6-9),86.6,0.86514503,248.25,242.61,4.8476672,4.2,4.1
2011,Sudeste,estadual,fundamental,iniciais (1-5),97.3,0.97456002,217.61,196.19,5.6893859,5.5,5.3
2011,Sudeste,estadual,medio,todos (1-4),76.3,0.78967398,274.92,269.73,4.5887742,3.6,3.5
2011,Sudeste,privada,fundamental,finais (6-9),94.7,0.94723701,306.11,287.92,6.5675001,6.2,6.5
2011,Sudeste,privada,fundamental,iniciais (1-5),98,0.97959799,252.61,230.66,6.985177,6.8,6.9
2011,Sudeste,privada,medio,todos (1-4),93.5,0.93942302,339.22,317.45,6.2062349,5.8,6
2011,Sudeste,publica,fundamental,finais (6-9),86.4,0.86359501,250.5,244.52,4.9171672,4.2,4.1
2011,Sudeste,publica,fundamental,iniciais (1-5),94,0.939614,218.08,196.75,5.7083721,5.4,5.2
2011,Sudeste,total,fundamental,finais (6-9),87.6,0.87564701,259.35,251.44,5.1799998,4.5,4.4
2011,Sudeste,total,fundamental,iniciais (1-5),94.6,0.94579601,223,201.55,5.8900671,5.6,5.4
2011,Sudeste,total,medio,todos (1-4),78.7,0.81030297,285.22,277.35,4.8473592,3.9,3.9
2011,Sul,estadual,fundamental,finais (6-9),81.6,0.81579798,254.28,244.94,4.9873328,4.1,4
2011,Sul,estadual,fundamental,iniciais (1-5),92.9,0.93093801,217.82,199.32,5.7501531,5.4,5
2011,Sul,estadual,medio,todos (1-4),75.4,0.792418,279.47,268.67,4.6366611,3.7,3.7
2011,Sul,privada,fundamental,finais (6-9),95.6,0.95546198,305.95,284.7,6.5108328,6.2,6.4
2011,Sul,privada,fundamental,iniciais (1-5),98.4,0.98336601,257.42,231.13,7.0854421,7,6.8
2011,Sul,privada,medio,todos (1-4),94.1,0.94845498,346.42,319.54,6.3386459,6,6.1
2011,Sul,publica,fundamental,finais (6-9),82.2,0.82154,255.55,245.97,5.0254998,4.1,4.1
2011,Sul,publica,fundamental,iniciais (1-5),93.2,0.932675,218.83,197.61,5.738719,5.4,5.1
2011,Sul,total,fundamental,finais (6-9),83.5,0.83497399,261.2,250.3,5.191833,4.3,4.3
2011,Sul,total,fundamental,iniciais (1-5),93.8,0.93824399,221.11,199.38,5.8144808,5.5,5.2
2011,Sul,total,medio,todos (1-4),77.7,0.81056601,290.14,276.76,4.9077778,4,4
2013,Centro-Oeste,estadual,fundamental,finais (6-9),87,0.86989897,246.08,242.41,4.8083329,4.2,4
2013,Centro-Oeste,estadual,fundamental,iniciais (1-5),94.2,0.94299901,217.35,201.02,5.7722788,5.4,5
2013,Centro-Oeste,estadual,medio,todos (1-4),74.6,0.76656598,264.75,259.7,4.2957869,3.3,3.4
2013,Centro-Oeste,privada,fundamental,finais (6-9),95.8,0.95848399,291.98,280.08,6.2011671,5.9,6.2
2013,Centro-Oeste,privada,fundamental,iniciais (1-5),98.9,0.988796,245.8,231,6.8612318,6.8,6.8
2013,Centro-Oeste,privada,medio,todos (1-4),94.3,0.95820397,324.3,307.61,5.8495202,5.6,6.2
2013,Centro-Oeste,publica,fundamental,finais (6-9),87.2,0.87215,246.83,243.25,4.8348331,4.2,4
2013,Centro-Oeste,publica,fundamental,iniciais (1-5),93.9,0.94004202,214.52,198.96,5.6807418,5.3,4.9
2013,Centro-Oeste,total,fundamental,finais (6-9),88.5,0.88543099,254.33,249.36,5.0618329,4.5,4.3
2013,Centro-Oeste,total,fundamental,iniciais (1-5),94.7,0.94806498,218.35,202.91,5.8257661,5.5,5.1
2013,Centro-Oeste,total,medio,todos (1-4),77.6,0.79641199,275.26,268.13,4.569448,3.6,3.9
2013,Nordeste,estadual,fundamental,finais (6-9),75.2,0.749358,232.36,229.52,4.3648329,3.3,3.5
2013,Nordeste,estadual,fundamental,iniciais (1-5),85.7,0.86915302,188.1,174.8,4.7364359,4.1,4
2013,Nordeste,estadual,medio,todos (1-4),77.5,0.80334997,246.19,241.55,3.763397,3,3.3
2013,Nordeste,privada,fundamental,finais (6-9),93.7,0.93699199,283.2,273.8,5.9503331,5.6,6.1
